Ticker,Name,Exchange,categoryName,categoryNr
ZENO,"Zenosense, Inc.",PNK,,0
ZSIYARPO.BO,SIYARAM PODDAR FINANCE & TRADI,BSE,,0
APC.F,Apple Inc.,FRA,Electronic Equipment,314
PVAYL,Penn Virginia Corporation,PNK,,0
722531.TWO,YUANTA SECURITIES C/W 18/07/16(,TWO,,0
DRX.TO,ADF Group Inc.,TOR,Metal Fabrication,626
MYPK3.SA,Iochpe-Maxion S.A.,SAO,Auto Parts,333
GPC,Genuine Parts Company,NYQ,"Specialty Retail, Other",745
GPX,GP Strategies Corp.,NYQ,Education & Training Services,766
ICTSF,ICTS International NV,PNK,,0
GPT,Gramercy Property Trust Inc.,NYQ,REIT - Diversified,440
GPP,Green Plains Partners LP,NGM,Oil & Gas Pipelines,125
GPS,"The Gap, Inc.",NYQ,Apparel Stores,730
001800.KS,Orion Corporation,KSC,,0
KODK,Eastman Kodak Co.,NYQ,Electronic Equipment,314
QSV.MU,EDENRED,MUN,,0
4QI.F,Xtep International Holdings Limited,FRA,,0
2884.TW,"E.SUN Financial Holding Company, Ltd.",TAI,Money Center Banks,410
ITEK,Inotek Pharmaceuticals Corporation,NGM,Biotechnology,515
CE4.F,"Cheniere Energy Partners LP Holdings, LLC",FRA,,0
ITEC,"Intertech Solutions , Inc.",PNK,Business Services,760
TSLA.MX,"Tesla Motors, Inc.",MEX,,0
SYNL,Synalloy Corporation,NGM,Steel & Iron,130
KMT.V,"Komet Resources, Inc.",VAN,Industrial Metals & Minerals,133
PMT.TO,Perpetual Energy Inc.,TOR,Independent Oil & Gas,121
SYNC,"Synacor, Inc.",NGM,Internet Information Providers,851
058820.KQ,"CMG Pharmaceutical CO.,LTD.",KOE,,0
SYNA,Synaptics Inc.,NMS,Application Software,821
SYNT,"Syntel, Inc.",NMS,Information Technology Services,824
PEN.AX,Peninsula Energy Limited,ASX,Industrial Metals & Minerals,133
SKG.L,Smurfit Kappa Group plc,LSE,Packaging & Containers,325
Y08.SI,YHI International Limited,SES,Auto Parts,333
TEF.L,Telford Homes plc,LSE,Residential Construction,630
DRII,"Diamond Resorts International, Inc.",NYQ,Resorts & Casinos,711
SLTFF,Pistol Bay Mining Inc.,PNK,,0
SGEN,"Seattle Genetics, Inc.",NMS,Biotechnology,515
BKY.BE,BANK OF KYOTO,BER,,0
JNDOF,"Jin Co.,Ltd.",PNK,,0
UEDVF,CITIC Envirotech Ltd.,PNK,,0
POFNF,Power Financial Corporation,PNK,,0
FDM.F,Fresh Del Monte Produce Inc.,FRA,,0
GGN-PB,"GAMCO Global Gold, Natural Reou",ASE,,0
ZEEMEDIA.BO,ZEE MEDIA CORPORATION LIMITED,BSE,,0
STRZ,Star Buffet Inc.,PNK,Restaurants,712
LMW.AX,Landmark White Ltd.,ASX,Property Management,448
NTCI,"Nutech, Inc.",PNK,,0
STRS,Stratus Properties Inc.,NMS,Real Estate Development,449
VBCFERROQ.BO,VBC Ferro Alloys Limited,BSE,,0
0036@OM.KL,KEY ALLIANCE GROUP BERHAD,KLS,,0
STRT,STRATTEC Security Corporation,NGM,Auto Parts,333
STRI,"STR Holdings, Inc.",PNK,Semiconductor Equipment & Materials,834
STRN,Sutron Corporation,NCM,,0
STRM,"Streamline Health Solutions, Inc.",NCM,Healthcare Information Services,825
RUOA.BE,,,,0
STRA,Strayer Education Inc.,NMS,Education & Training Services,766
NTCT,"NetScout Systems, Inc.",NMS,Business Software & Services,826
QLT.F,QLT Inc.,FRA,,0
LCI,"Lannett Company, Inc.",NYQ,Drugs - Generic,512
KNCAF,"Konica Minolta, Inc.",PNK,,0
LUND-B.ST,"L E Lundbergföretagen AB
",STO,,0
WOPA.MU,WOODSIDE PETROLEUM,MUN,Independent Oil & Gas,121
KNCAY,"Konica Minolta, Inc.",PNK,,0
ALOSP.NX,OSPREYFRANK,ENX,,0
PZCUF,PZ Cussons Plc,PNK,,0
FYL.V,Finlay Minerals Ltd.,VAN,Industrial Metals & Minerals,133
2301.TW,Lite-On Technology Corp.,TAI,Computer Based Systems,812
2078.HK,PANASIALUM,HKG,,0
IEX,IDEX Corporation,NYQ,Diversified Machinery,622
JNPKF,Jenoptik AG,PNK,,0
IEP,"Icahn Enterprises, L.P.",NMS,Conglomerates,210
NVU-UN.TO,Northview Apartment Real Estate Investment Trust,TOR,,0
IEC,IEC Electronics Corp.,ASE,Printed Circuit Boards,835
ZMMR.TA,ZIM DIRECT MARKET,TLV,,0
IDEXY,Industria de Diseno Textil SA,PNK,,0
FDX.DE,FedEx Corporation,GER,Air Delivery & Freight Services,773
IDEXF,Industria de Diseno Textil SA,PNK,,0
RY-PI.TO,Royal Bank of Canada,TOR,,0
COP.DE,CompuGroup Medical SE,GER,Healthcare Information Services,825
IIREF,iShares Public Limited Company - iShares MSCI World UCITS ETF (Dist),PNK,,0
PY9.SG,POLYONE,STU,,0
ARTI.IS,Arti Yatirim Holding A.S.,IST,,0
SPH1.F,Sekisui House Ltd.,FRA,,0
5007.KL,Chin Well Holdings Berhad,KLS,,0
KTC.BK,Krungthai Card Public Co. Ltd.,SET,,0
BXS,"BancorpSouth, Inc.",NYQ,Regional - Southeast Banks,413
TIM.F,ZEAL Network SE,FRA,Gaming Activities,714
PLI.TO,ProMetic Life Sciences Inc.,TOR,Biotechnology,515
C8J.BE,CASHBUILD,BER,,0
BXC,Bluelinx Holdings Inc.,NYQ,Building Materials Wholesale,751
1044.HK,HENGAN INT'L,HKG,Personal Products,323
BXE,Bellatrix Exploration Ltd.,NYQ,Independent Oil & Gas,121
USTDF,Palisades Ventures Inc.,PNK,,0
MCHX,"Marchex, Inc.",NMS,Marketing Services,721
8240.TWO,WAH HONH INDUSTRIA TWD10,TWO,,0
WPL.SW,WOODSIDE PETROLEUM,EBS,,0
6868.HK,TENFU,HKG,,0
ENAFF,Enablence Technologies Inc.,PNK,,0
NETE,"Net Element, Inc.",NCM,Internet Software & Services,852
TAEE11.SA,Transmissora Aliança de Energia Elétrica S.A.,SAO,Electric Utilities,911
NHTB,New Hampshire Thrift Bancshares Inc.,NGM,,0
NHTC,Natural Health Trends Corp.,NCM,Personal Products,323
TIR.L,Tiger Resource Finance Ord,LSE,Asset Management,422
PTORF,Spartan Energy Corp.,PNK,,0
BAC.F,Verizon Communications Inc.,FRA,Wireless Communications,840
DPSCLTD.NS,India Power Corporation Limited,NSI,Electric Utilities,911
RUMO3.SA,Rumo Logística Operadora Multimodal S.A.,SAO,Railroads,776
IEM.AX,"iShares, Inc. - iShares MSCI Emerging Markets ETF",ASX,,0
IXA.BE,IGE PLUS XAO,BER,,0
RIGO.BA,Rigolleau S.A.,BUE,Personal Products,323
0527.HK,RUIFENG RENEW,HKG,Semiconductor Equipment & Materials,834
OLG.MU,SAINT-GOBAIN OBERL.,MUN,,0
EMMS,Emmis Communications Corp.,NMS,Broadcasting - Radio,724
WTPI-CRI02L1.SA,WTORRE PIC  C02,SAO,,0
OXH.L,Oxford Technology VCT 2 Ord,LSE,,0
TLYS,"Tilly's, Inc.",NYQ,Apparel Stores,730
2921.HK,STANCHART RTS,HKG,,0
LOGG,LifeLogger Technologies Corp.,PNK,Marketing Services,721
WUC.SG,Western Lithium USA Corporation,STU,Industrial Metals & Minerals,133
JSHG,Enhanced Energy Solutions Corp.,PNK,,0
PEYUF,Peyto Exploration & Development Corp,PNK,,0
LOGN,Logansport Financial Corp.,PNK,Savings & Loans,419
XIS.F,Axis AB (publ),FRA,,0
LOGL,"Legend Oil and Gas, Ltd.",PNK,Independent Oil & Gas,121
LOGM,"LogMeIn, Inc.",NMS,Application Software,821
FIC.TO,CAN FINANCIALS INCOME CORP,TOR,,0
LOGI,Logitech International SA,NMS,,0
VOW.DE,Volkswagen AG,GER,Auto Manufacturers - Major,330
WSU.F,Washtec AG,FRA,Diversified Machinery,622
APWC,Asia Pacific Wire & Cable Corp. Ltd.,NGM,Industrial Electrical Equipment,627
8050-OL.HK,YUNBO DIGITAL,HKG,,0
XIS.MU,AXIS ,MUN,,0
ZGL.AX,Zicom Group Limited,ASX,Diversified Machinery,622
TKPPY,Technip SA,PNK,,0
WINSOME.NS,Winsome Yarns Ltd.,NSI,,0
RDO.MU,SIRIUS XM HLDGS,MUN,,0
SOFF.OL,Solstad Offshore ASA,OSL,Oil & Gas Equipment & Services,124
NVDEF,"Nevada Exploration, Inc.",PNK,,0
030530.KQ,"Wonik Holdings Co., Ltd.",KOE,,0
KMRPF,Kenmare Resources plc,PNK,,0
WBC.NZ,Westpac Banking Corporation,NZE,Money Center Banks,410
0775.HK,CKLIFE SCIENCES,HKG,Biotechnology,515
CNIT,"China Information Technology, Inc.",NMS,Application Software,821
LGO.AX,Longreach Oil Ltd.,ASX,Independent Oil & Gas,121
ECPN,El Capitan Precious Metals Inc.,PNK,Industrial Metals & Minerals,133
CNIG,Corning Natural Gas Holding Corporation,PNK,Gas Utilities,912
HEX.OL,Hexagon Composites ASA,OSL,Diversified Machinery,622
OPTI,Opti Inc.,PNK,Semiconductor - Specialized,832
CRUS,Cirrus Logic Inc.,NMS,Semiconductor - Specialized,832
ECPG,"Encore Capital Group, Inc.",NMS,Asset Management,422
CIEL3F.SA,CIELO       ON  EDJ NM,SAO,,0
DL8.F,Deluxe Corp.,FRA,,0
AVMXF,Avita Medical Limited,PNK,,0
OKU.AX,Oklo Resources Limited,ASX,Industrial Metals & Minerals,133
YEWB,"Yew Bio-Pharm Group, Inc.",OBB,Farm Products,341
ZO2.F,ZOE'S KITCHEN,FRA,,0
AVMXY,Avita Medical Limited,PNK,,0
8213.HK,EPICUREAN,HKG,Technical & System Software,822
TSGTY,Tsingtao Brewery Company Limited,PNK,,0
CGN.F,Cigna Corp.,FRA,,0
ZMD.V,Zoommed Inc.,VAN,Healthcare Information Services,825
286.F,SafeCharge International Group Limited,FRA,,0
KLH.SG,COPENHAGEN AIRPORT,STU,,0
WMK.AX,Watermark Market Neutral Fund Limited,ASX,,0
AWON,"A1 Group, Inc.",PNK,,0
XRX.SW,XEROX CORP,EBS,,0
WTXR,"West Texas Resources, Inc.",PNK,Independent Oil & Gas,121
WONCF,WING ON CO INTL LTD,PNK,,0
TSGTF,Tsingtao Brewery Company Limited,PNK,,0
HKBT,HK Battery Technology Inc.,PNK,Conglomerates,210
AKG.TO,Asanko Gold Inc.,TOR,Gold,134
MCS.L,McCarthy & Stone Plc,LSE,,0
MPSYF,Morphosys AG,PNK,,0
GA03.QA,QA CB Gov Bond 2.75 Jun16,DOH,,0
722204.TWO,YUANTA SECURITIES C/W 24/06/16(,TWO,,0
ALAST.PA,Astellia SA,PAR,Technical & System Software,822
PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,SAO,Major Integrated Oil & Gas,120
FORTUNEF.BO,Fortune Financial Services (India) Limited,BSE,,0
SGPYY,Sage Group plc,PNK,,0
J6W.F,Alexco Resource Corporation,FRA,,0
ATN.F,"ADTRAN, Inc.",FRA,,0
EZQ.F,China Mengniu Dairy Co. Ltd.,FRA,,0
SLG-PI,SL Green Realty Corporation Pre,NYQ,,0
KTYB,Kentucky Bancshares Inc.,PNK,Regional - Northeast Banks,411
TWSI,Tristar Wellness Solutions Inc.,PNK,,0
NRN.BE,XCEL ENERGY ,BER,,0
CL.SW,COLGATE-PALMOLIVE,EBS,,0
ABQK.QA,Ahli Bank Q.S.C.,DOH,,0
MHRCQ,Magnum Hunter Resources Corp.,PNK,,0
LRAXF,Lara Exploration Ltd.,PNK,,0
MNIKF,American Lithium Corp.,PNK,,0
HFD.L,Halfords Group plc,LSE,"Specialty Retail, Other",745
UBK.HM,UMWELTBANK ,HAM,,0
WDR.AX,,ASX,,0
DML.TO,Denison Mines Corp.,TOR,Industrial Metals & Minerals,133
ZEEL4.BO,ZEE ENTERTAINMENT ENTERPRISES,BSE,,0
UZA,United States Cellular Corporation,NYQ,,0
UZB,United States Cellular Corporation,NYQ,,0
UZC,United States Cellular Corporat,NYQ,,0
PCHA,PowerMedChairs,OBB,Conglomerates,210
SSBI,Summit State Bank,NGM,Regional - Pacific Banks,416
SACRF,SA CORPORATE REAL ES,PNK,,0
522985.SS,,SHH,,0
PLAY,"Dave & Buster's Entertainment, Inc.",NMS,,0
RNST,Renasant Corp.,NMS,Money Center Banks,410
PLAB,Photronics Inc.,NMS,Semiconductor Equipment & Materials,834
RPOWER.BO,Reliance Power Limited,BSE,,0
JAUGF,Jet Gold Corp.,PNK,,0
PLAD,"PLAD, Inc.",PNK,,0
ORVMF,Orvana Minerals Corp.,PNK,,0
JW2.BE,JOHNSON OUTDOORS-A,BER,,0
NSX.V,NSGold Corporation,VAN,Gold,134
WRL.OL,Wentworth Resources Limited,OSL,Independent Oil & Gas,121
UMDI,USmart Mobile Device Inc.,PNK,,0
FTG.TO,Firan Technology Group Corporation,TOR,Aerospace/Defense - Major Diversified,610
USRE,USA Real Estate Investment Trust,PNK,,0
JMD.F,"Japan Medical Dynamic Marketing, INC.",FRA,,0
KIRLPNU.BO,Kirloskar Pneumatic Company Ltd,BSE,,0
USRM,"U.S. Stem Cell, Inc.",PNK,,0
DELAF,Firm Capital American Realty Partners Corp.,PNK,,0
1157-OL.HK,ZOOMLION,HKG,,0
0896.HK,HANISON,HKG,General Contractors,636
KIBO.L,Kibo Mining Plc,LSE,Gold,134
LLESF,LendLease Group,PNK,,0
LLESY,LendLease Group,PNK,,0
DHXM,DHX Media Ltd.,NMS,,0
EIN3.HM,EINHELL GERMANY VZ,HAM,,0
XPO,"XPO Logistics, Inc.",NYQ,Air Delivery & Freight Services,773
YAR.SW,YARA INTERNATIONAL,EBS,,0
XPL,Solitario Exploration & Royalty Corp.,ASE,Gold,134
GLJ.DE,GrenkeLeasing AG,GER,Asset Management,422
VIV.MI,Vivendi SA,MIL,Broadcasting - TV,723
APC.DE,Apple Inc.,GER,Electronic Equipment,314
1CT.BE,CHOW TAI FOOK JEWEL,BER,,0
SKX.V,Striker Exploration Corp.,VAN,,0
V94.F,Mabuchi Motor Co. Ltd.,FRA,,0
XPP.L,XP Power Ltd.,LSE,Diversified Electronics,836
SDL.NZ,Solution Dynamics Limited,NZE,Business Services,760
5268@BN.KL,IKHMAS JAYA GROUP BERHAD,KLS,,0
RHM.DU,RHEINMETALL,DUS,Diversified Machinery,622
BMTR.JK,GLOBAL MEDIACOM IDR100,JKT,,0
BEN,"Franklin Resources, Inc.",NYQ,Asset Management,422
BEL,Belmond Ltd.,NYQ,Lodging,710
VEND,Generation Next Franchise Brands Inc.,OBB,Advertising Agencies,720
SDP.L,Schroder Asia Pacific Ord,LSE,,0
BEP,Brookfield Renewable Partners L.P.,NYQ,Diversified Utilities,913
ARII.JK,ATLAS RESOURCES TB IDR200,JKT,,0
GHDX,Genomic Health Inc.,NMS,Medical Laboratories & Research,525
GHDS,Greater Hudson Bank (NY),PNK,,0
3BD.F,Bosideng International Holdings Limited,FRA,,0
GPSDF,GRUPO POCHTECA CL B,PNK,,0
099190.KQ,"i-SENS, Inc.",KOE,,0
ETG.DE,EnviTec Biogas AG,GER,Diversified Utilities,913
OLCLF,"Oriental Land Co., Ltd.",PNK,,0
GRHHQ,"GreenHunter Resources, Inc.",PNK,,0
7121@OM.KL,XIAN LENG HOLDINGS BHD,KLS,,0
BMAX.ST,Byggmax Group AB (publ),STO,Home Improvement Stores,736
1148-OL.HK,POWER XINCHEN,HKG,,0
VOGUETEX.BO,VOGUE TEXTILES LTD.,BSE,,0
OLCLY,"Oriental Land Co., Ltd.",PNK,,0
PPNT,Pinpoint Recovery Solutions Corp.,PNK,,0
FIRSTWIN.NS,First Winner Industries Limited,NSI,Textile Industrial,628
AOD1.F,AngloGold Ashanti Ltd.,FRA,,0
KYN,Kayne Anderson MLP Investment Company,NYQ,,0
AOSDF,Alberta Oilsands Inc.,PNK,,0
NOM,Nuveen Missouri Premium Income Municipal Fund,ASE,,0
DYAX,Dyax Corp.,NGM,,0
NOK,Nokia Corporation,NYQ,Communication Equipment,841
NOG,"Northern Oil and Gas, Inc.",ASE,Oil & Gas Drilling & Exploration,123
NOA,North American Energy Partners Inc.,NYQ,Oil & Gas Equipment & Services,124
NOC,Northrop Grumman Corporation,NYQ,Aerospace/Defense - Major Diversified,610
PRF-UN.TO,PINEBRIDGE INV GRADE PREF SEC F,TOR,,0
DYAI,"Dyadic International, Inc.",PNK,,0
MRSZF,MARUSAN SECURITIES C,PNK,,0
NOV,"National Oilwell Varco, Inc.",NYQ,Oil & Gas Equipment & Services,124
NOW,"ServiceNow, Inc.",NYQ,Information Technology Services,824
NSLM,National Silver Lead Mining Co.,PNK,,0
ALF.L,ALTER LIQU FD USD,LSE,,0
N3VN.BE,ALEXZA PHARMA,BER,,0
TKAG-U.TI,THYSSENKRUPP ,TLO,,0
WMC.SG,ALUMINA SP ADR,STU,,0
LEOM,Leo Motors Inc.,PNK,,0
LEON,"Leone Asset Management, Inc.",PNK,,0
KPC.AX,Kazakhstan Potash Corporation Limited,ASX,,0
BWXT,"BWX Technologies, Inc.",NYQ,Aerospace/Defense Products & Services,611
722884.TWO,YUANTA SECURITIES C/W 23/08/16(,TWO,,0
EUYNF,Eu Yan Sang International Ltd,PNK,,0
WHA.DU,WHARF (HLDGS),DUS,,0
YAMCF,Yamaha Corporation,PNK,,0
YAMCY,Yamaha Corporation,PNK,,0
QSMG,Quest Management Inc.,PNK,,0
PTNT,"Prism Technologies Group, Inc.",NCM,,0
BFAM,"Bright Horizons Family Solutions, Inc.",NYQ,Personal Services,762
DIVC,C-Tracks ETN Miller/Howard Strt Div Rinv,PCX,,0
SHWK.DU,SHS VIVEON,DUS,Information Technology Services,824
XIM.F,Acxiom Corporation,FRA,,0
SHWK.DE,SHS VIVEON AG,GER,Information Technology Services,824
AREEP,"Alexandria Real Estate Equities, Inc.",PNK,,0
PEP.DE,"Pepsico, Inc.",GER,Beverages - Soft Drinks,348
AUAOF,Australand Holdings Limited,PNK,,0
QMDT,Quick-Med Technologies Inc.,PNK,Biotechnology,515
PEP.DU,PEPSICO,DUS,Beverages - Soft Drinks,348
8176.TWO,Z-COM INC TWD10,TWO,,0
DPW,Digital Power Corp.,ASE,Diversified Electronics,836
CLDN,Celladon Corporation,NGM,,0
BMNM,"Bimini Capital Management, Inc.",PNK,REIT - Diversified,440
0919.HK,MODERN BEAUTY,HKG,Personal Products,323
PEUGF,Peugeot S.A.,PNK,,0
HOJ.F,Horizon Oil Limited,FRA,,0
DPZ,"Domino's Pizza, Inc.",NYQ,Restaurants,712
DPG,Duff & Phelps Global Utility Income Fund Inc.,NYQ,,0
NSI.L,New Star Investment Trust Ord,LSE,,0
THGA,"The Hanover Insurance Group, Inc.",NYQ,,0
DPM,DCP Midstream Partners LP,NYQ,Oil & Gas Pipelines,125
AISCF,Kerr Mines Inc.,PNK,,0
X9CN.F,Excalibur Resources Ltd.,FRA,,0
MXAM,"X Rail Enterprises, Inc.",PNK,,0
CNTF,China Techfaith Wireless Communication Technology Limited,NMS,Networking & Communication Devices,814
MFY.F,Mochida Pharmaceutical Co. Ltd.,FRA,,0
TAC.V,Tasca Resources Ltd.,VAN,Diversified Utilities,913
CNTO,"Centor Energy, Inc.",PNK,Industrial Metals & Minerals,133
KCC.V,Kincora Copper Limited,VAN,,0
LILY34.SA,Eli Lilly and Company,SAO,Drug Manufacturers - Major,510
WIR-U.TO,WPT INDUSTRIAL REIT USD,TOR,,0
MLYAF,Malaysian Airline System Bhd,PNK,,0
GOLI.SW,GOLD FIELDS,EBS,,0
YX3F.EX,YOOX NETAPORT,EUX,,0
CNTY,Century Casinos Inc.,NCM,Resorts & Casinos,711
PNY,Piedmont Natural Gas Co. Inc.,NYQ,Gas Utilities,912
PNX,The Phoenix Companies Inc.,NYQ,,0
PNR,Pentair plc,NYQ,Industrial Equipment & Components,621
JRIC.L,Japan Residential Investment Co. Ltd.,LSE,,0
PNW,Pinnacle West Capital Corporation,NYQ,Electric Utilities,911
PNI,PIMCO New York Municipal Income Fund II,NYQ,,0
PNK,"Pinnacle Entertainment, Inc",NMS,,0
MRLN,Marlin Business Services Corp.,NMS,Mortgage Investment,447
PNM,"PNM Resources, Inc.",NYQ,Diversified Utilities,913
PNC,"The PNC Financial Services Group, Inc.",NYQ,Money Center Banks,410
PNF,PIMCO New York Municipal Income Fund,NYQ,,0
RUIS.JK,RADIANT UTAMA INTE IDR100,JKT,,0
HAMP,"Hampshire Group, Limited",PNK,,0
TRUP,"Trupanion, Inc.",NGM,Accident & Health Insurance,431
CBOE,"CBOE Holdings, Inc.",NMS,Diversified Investments,423
TRUU,"True Drinks Holdings, Inc.",PNK,,0
WAFM.L,West African Minerals Corporation,LSE,Industrial Metals & Minerals,133
MOZ.AX,Volt Resources Limited,ASX,Industrial Metals & Minerals,133
TLFN.BE,ZHONE TECH,BER,,0
TRUE,"TrueCar, Inc.",NMS,Internet Service Providers,850
W17A.BE,WESCAN GOLDFIELDS,BER,,0
CNQ.TO,Canadian Natural Resources Limited,TOR,Independent Oil & Gas,121
CRO.IR,VENN LIFE,ISE,,0
WEK.F,"ZIOPHARM Oncology, Inc.",FRA,,0
SIX2.F,Sixt Societas Europaea,FRA,Rental & Leasing Services,761
VUX.V,Vital Energy Inc.,VAN,,0
IVW.TO,LeadFX Inc.,TOR,Industrial Metals & Minerals,133
CHFN,Charter Financial Corporation,NCM,Regional - Mid-Atlantic Banks,412
CHFC,Chemical Financial Corporation,NMS,Regional - Midwest Banks,414
CHFY,China Forestry Inc.,PNK,,0
MRO,Marathon Oil Corporation,NYQ,Independent Oil & Gas,121
MRK,"Merck & Co., Inc.",NYQ,Drug Manufacturers - Major,510
MRD,Memorial Resource Development Corp.,NMS,Oil & Gas Drilling & Exploration,123
CHFR,China Fruits Corp.,PNK,,0
TOR1.SG,TORAY IND INC,STU,,0
MRC,MRC Global Inc.,NYQ,Oil & Gas Equipment & Services,124
YCI-R.BK,YONG THAI PUBLIC COMPANY LIMITE,SET,,0
MLXEF,Metals X Limited,PNK,,0
APP,"American Apparel, Inc.",ASE,,0
APT,Alpha Pro Tech Ltd.,ASE,General Building Materials,634
APU,AmeriGas Partners LP,NYQ,Gas Utilities,912
APH,Amphenol Corporation,NYQ,Diversified Electronics,836
APO,"Apollo Global Management, LLC",NYQ,Diversified Investments,423
APB,"The Asia Pacific Fund, Inc.",NYQ,,0
APC,Anadarko Petroleum Corporation,NYQ,Independent Oil & Gas,121
SKFRY,SKF AB,PNK,,0
APA,Apache Corp.,NYQ,Independent Oil & Gas,121
APF,Morgan Stanley Asia-Pacific Fund Inc.,NYQ,,0
APD,"Air Products and Chemicals, Inc.",NYQ,Chemicals - Major Diversified,110
TLS.AX,Telstra Corporation Limited,ASX,Wireless Communications,840
KSSH,Kingfish Holding Corporation,PNK,,0
722312.TWO,JIH SUN SECURITIES C/W 06/07/16,TWO,,0
AXRX,Amexdrug Corp.,PNK,Drug Related Products,514
ADNC,"Audience, Inc.",NMS,,0
WRN.TO,Western Copper and Gold Corporation,TOR,Copper,131
UCTT,Ultra Clean Holdings Inc.,NMS,Semiconductor - Specialized,832
722313.TWO,JIH SUN SECURITIES C/W 06/07/16,TWO,,0
TARSF,Alianza Minerals Ltd.,PNK,,0
ELUXY,AB Electrolux (publ),PNK,,0
ZEF.SG,ZHONGDE WASTE TECH,STU,Waste Management,637
ZCP.F,,FRA,,0
ECOCQ,"Ecology Coatings, Inc.",PNK,,0
TXRX4.SA,Renauxview SA,SAO,Textile Industrial,628
BKRKY,PT Bank Rakyat Indonesia (Persero) Tbk,PNK,,0
SPX.AX,Spectrum Rare Earths Limited,ASX,Industrial Metals & Minerals,133
SKHTF,SUN HUNG KAI PROPERT,PNK,,0
JBCHEPHARM-EQ.NS,JB CHEMICALS & PHARMACEUTICALS ,NSI,,0
DBK.MI,Deutsche Bank AG,MIL,Money Center Banks,410
FNM.MU,FANNIE MAE,MUN,,0
FUJ1.DU,FUJITSU,DUS,,0
KMG.IL,KAZMUN SP GDR REG-S,IOB,,0
PRZ.L,Prezzo plc,LSE,,0
0143.HK,GLOBAL TECH,HKG,Wireless Communications,840
CYD.MU,CHINA YUCHAI INTL,MUN,,0
YS0.F,YuanShengTai Dairy Farm Limited,FRA,,0
WYN.NZ,Wynyard Group Limited,NZE,Technical & System Software,822
IVDN,Innovative Designs Inc.,PNK,Textile Industrial,628
WNS.AX,World.Net Services Ltd.,ASX,,0
WEY.L,Wey Education Plc,LSE,,0
UVFT,"UV Flu Technologies, Inc.",PNK,Pollution & Treatment Controls,623
V1RA.F,Vena Resources Inc.,FRA,,0
UIFC,Uniti Financial Corp.,PNK,Regional - Pacific Banks,416
IVDA,"Iveda Solutions, Inc.",OBB,Security Software & Services,823
FPVD,Force Protection Video Equipment Corp.,PNK,,0
CHGN.L,Chemring Group plc,LSE,,0
GLY.F,Global Bio-chem Technology Group Company Limited,FRA,,0
VFP.BE,VF,BER,,0
UKRO.L,Ukraine Opportunity Ord,LSE,,0
EXN.BE,XINREN ALUMINUM,BER,,0
WFR.DU,SUNEDISON,DUS,Semiconductor Equipment & Materials,834
WORD.BE,CHINA LOTSYNERGY,BER,,0
FMAO,Farmers and Merchants Bancorp Inc.,OBB,Regional - Midwest Banks,414
RMGN,RMG Networks Holding Corporation,NCM,Business Services,760
0SG.BE,SIBANYE GOLD ,BER,,0
RMGI,"Rambo Medical Group, Inc.",PNK,,0
W-B.TO,,,,0
ZEN.V,Zenyatta Ventures Ltd,VAN,Industrial Metals & Minerals,133
ZXSI,Zaxis International Inc.,PNK,,0
NMA.F,Newcrest Mining Limited,FRA,,0
ZAS.MU,ASSURANT,MUN,,0
036500.KQ,"SS Comtech Co., Ltd.",KOE,,0
CRIH.HM,UNICREDIT,HAM,,0
ZICOM.BO,Zicom Electronic Security Systems Limited,BSE,,0
AKSGY.IS,Akis Gayrimenkul Yatirim Ortakligi A.S.,IST,,0
TFECY,Thin Film Electronics ASA,PNK,,0
CLI,Mack-Cali Realty Corp.,NYQ,REIT - Office,441
PHIIK,PHI Inc.,NMS,,0
HOTRW,"Chanticleer Holdings, Inc.",NCM,,0
WXE.F,UMH Properties Inc.,FRA,,0
AOTUF,Precinct Properties New Zealand Limited,PNK,,0
KATMR.IS,Katmerciler Arac Ustu Ekipman Sanayi ve Ticaret A.S.,IST,,0
JMC.V,Josephine Mining Corp.,VAN,,0
ARFXF,ProMIS Neurosciences Inc.,PNK,,0
BGO.L,Bango PLC,LSE,Internet Information Providers,851
SBDG,"Small Business Development Group, Inc.",PNK,,0
ENEV3F.SA,ENEVA       ON  ES  NM,SAO,,0
RAK.MU,RAKUTEN,MUN,,0
CLX,The Clorox Company,NYQ,Housewares & Accessories,312
PFLM.L,"PowerFilm, Inc.",LSE,,0
NIITLTD.NS,NIIT Ltd.,NSI,Information Technology Services,824
137293.L,CURTIS BANKS,LSE,,0
EVS.BR,EVS Broadcast Equipment S.A.,BRU,Communication Equipment,841
WHFPA.AX,WHITEFIELD 8% CUM PF,ASX,,0
KNM.L,Konami Holdings Corporation,LSE,Multimedia & Graphics Software,820
XEA.SG,Exa Corporation,STU,,0
XNNH,"Xenonics Holdings, Inc.",PNK,,0
IPOAF,Industrias Penoles S.A.B. DE CV,PNK,,0
TYS.BE,TOKYO SEIMITSU,BER,,0
HGJ.DU,DENBURY RESOURCES,DUS,,0
GEA.PA,Grenobloise d'Electronique et d'Automatismes SA,PAR,Business Equipment,313
BRDR,"Borderfree, Inc.",NMS,,0
YTT.DU,YAMATO HOLDINGS,DUS,,0
PDN.AX,Paladin Energy Ltd,ASX,Industrial Metals & Minerals,133
JAM.L,JPMorgan American Ord,LSE,,0
PAWEF,Pacific North West Capital Corp.,PNK,,0
GRBMF,"Grupo Bimbo, S.A.B. de C.V.",PNK,,0
